' Title Id;Description;Product code;Company Code;Notes;Versions;Region;Available on cdn;ico file Id;Native Resolution; Native Fps; Cap effect (NOEF, SYNCSCR, SYNCSCR)
'0005000010013000';Nintendo TV II ;wup-x-hbcj;-;-;-;jpn;notmd;'0005000010013000';720;60;SYNCSCR
'0005000010100600';Tekken Tag Tournament 2 Wii U Edition;wup-n-aknj;00af;-;v16;jpn;yes;'0005000010100600';720;60;SYNCSCR
'0005000010100D00';Nintendo Joysound Wii U;wup-n-wahj;-;-;v112;jpn;yes;'0005000010100D00';720;60;SYNCSCR
'0005000010101800';Sing Party;wup-n-aswe;-;-;v0;usa;yes;'0005000010101800';720;60;SYNCSCR
'0005000010101900';Sing Party;wup-p-aswp;-;-;v0;eur;yes;'0005000010101800';720;60;SYNCSCR
'0005000010101A00';Lego City Undercover;wup-n-aple;-;-;v0;usa;yes;'0005000010101A00';720;30;SYNCSCR
'0005000010101B00';Lego City Undercover;wup-p-aplp;1;-;v16;eur;yes;'0005000010101A00';720;30;SYNCSCR
'0005000010101C00';New Super Mario Bros.u;wup-p-arpj;-;-;v16;jpn;yes;'0005000010101D00';720;60;SYNCSCR
'0005000010101C00';New U;wup-n-arpj;1;-;v16,v65[?];jpn;yes;'0005000010101C00';720;60;SYNCSCR
'0005000010101D00';New Super Mario Bros U;wup-n-arpe;1;-;v64;usa;yes;'0005000010101D00';720;60;SYNCSCR
'0005000010101E00';New Super Mario Bros U;wup-p-arpp;1;-;v0,v80[?];eur;yes;'0005000010101D00';720;60;SYNCSCR
'0005000010101F00';Nintendoland;wup-n-alcj;1;-;v32;jpn;yes;'0005000010102100';720;60;SYNCSCR
'0005000010102000';Nintendoland;wup-n-alce;1;-;v32;usa;yes;'0005000010102100';720;60;SYNCSCR
'0005000010102100';Nintendoland;wup-p-alcp;1;-;v32;eur;yes;'0005000010102100';720;60;SYNCSCR
'0005000010102200';Wiifit U;wup-n-astj;1;-;v81;jpn;yes;'0005000010102200';720;60;SYNCSCR
'0005000010102300';Wiifit U;wup-n-aste;1;-;v81;usa;yes;'0005000010102200';720;60;SYNCSCR
'0005000010102400';Wiifit U;wup-p-astp;1;-;v81;eur;yes;'0005000010102200';720;60;SYNCSCR
'0005000010102500';Nintendo Joysound Wii U;-;-;-;v80;jpn;yes;'0005000010100D00';720;60;SYNCSCR
'0005000010102D00';Hulu Plus;wup-n-hnpe;-;-;v48;usa;yes;'0005000010102D00';720;60;SYNCSCR
'0005000010102E00';Amazon Instant Video;wup-n-hnqe;-;-;v16;usa;yes;'0005000010102E00';720;60;SYNCSCR
'0005000010102F00';Amazon Instant Video;wup-n-hnrp;-;-;v32;eur;yes;'0005000010102F00';720;60;SYNCSCR
'0005000010104C00';Hulu;wup-n-hnpj;-;-;v48;jpn;yes;'0005000010104C00';720;60;SYNCSCR
'0005000010105700';Youtube;wup-n-hnka;-;-;v144,v176;all;yes;'0005000010105700';720;60;SYNCSCR
'0005000010105A00';Netflix;wup-n-hnna;-;-;v96;eur;yes;'0005000010105A00';720;60;SYNCSCR
'0005000010106B00';Assassin's Creed III;wup-n-asse;41;-;v80;usa;yes;'000500001010F600';720;30;SYNCSCR
'0005000010106D00';Super Mario Bros;wup-n-faae;-;-;v0;usa;yes;'0005000010106D00';720;60;SYNCSCR
'0005000010106E00';Super Mario Bros;wup-n-faap;-;-;v0;eur;yes;'0005000010106D00';720;60;SYNCSCR
'0005000010107000';Super Mario Bros 3;wup-n-fabe;-;-;v0;usa;yes;'0005000010107000';720;60;SYNCSCR
'0005000010107100';Super Mario Bros 3;wup-n-fabp;-;-;v0;eur;yes;'0005000010107000';720;60;SYNCSCR
'0005000010107500';Ice Climber;wup-n-face;-;-;v0;usa;yes;'0005000010107500';720;60;SYNCSCR
'0005000010107600';Ice Climber;wup-n-facp;-;-;v0;eur;yes;'0005000010107500';720;60;SYNCSCR
'0005000010107800';Kirby s Adventure;wup-n-fade;-;-;v0;usa;yes;'0005000010107A00';576;60;SYNCSCR
'0005000010107900';Kirby s Adventure;wup-n-fadp;-;-;v0;eur;yes;'0005000010107A00';576;60;SYNCSCR
'0005000010107A00';Kirby s Adventure;-;-;-;v0;eur;yes;'0005000010107A00';576;60;SYNCSCR
'0005000010107C00';Mario Bros;wup-n-faee;-;-;v0;usa;yes;'0005000010107C00';720;60;SYNCSCR
'0005000010107D00';Mario Bros.;wup-n-faep;-;-;v0;eur;yes;'0005000010107C00';720;60;SYNCSCR
'0005000010107F00';Donkey Kong;wup-n-fafe;-;-;v0;usa;yes;'0005000010107F00';720;60;SYNCSCR
'0005000010108000';Donkey Kong;wup-n-fafp;-;-;v0;eur;yes;'0005000010107F00';720;60;SYNCSCR
'0005000010108200';Excitebike;wup-n-fage;-;-;v0;usa;yes;'0005000010108200';720;60;SYNCSCR
'0005000010108300';Excitebike;wup-n-fagp;-;-;v0;eur;yes;'0005000010108200';720;60;SYNCSCR
'0005000010108500';Super Mario Bros 2;wup-n-fahe;-;-;v0;usa;yes;'0005000010108500';720;60;SYNCSCR
'0005000010108600';Super Mario Bros 2;wup-n-fahp;-;-;v0;eur;yes;'0005000010108500';720;60;SYNCSCR
'0005000010108800';Balloon Fight;wup-n-faje;-;-;v16;usa;yes;'0005000010108900';720;60;SYNCSCR
'0005000010108900';Balloon Fight;wup-n-fajp;-;-;v32;eur;yes;'0005000010108900';720;60;SYNCSCR
'0005000010108B00';Punch-out featuring Mr Dream;wup-n-fake;-;-;v0;usa;yes;'0005000010108C00';720;60;SYNCSCR
'0005000010108C00';Punch-out;wup-n-fakp;-;-;v0;eur;yes;'0005000010108C00';720;60;SYNCSCR
'0005000010108F00';Super Mario World;wup-n-jaae;-;-;v1;usa;yes;'0005000010108F00';720;60;SYNCSCR
'0005000010109000';Super Mario World;wup-n-jaap;-;-;v1;eur;yes;'0005000010108F00';720;60;SYNCSCR
'0005000010109200';Legend Of The Seven Stars;wup-n-jabe;-;-;-;usa;yes;'0005000010109300';720;60;SYNCSCR
'0005000010109300';Legend Of The Seven Stars;wup-n-jabp;-;-;-;eur;yes;'0005000010109300';720;60;SYNCSCR
'0005000010109500';Donkey Kong Country;wup-n-jace;-;-;v0;usa;yes;'0005000010109500';720;60;SYNCSCR
'0005000010109600';Donkey Kong Country;wup-n-jacp;-;-;v0;eur;yes;'0005000010109500';720;60;SYNCSCR
'0005000010109800';TLOZ A Link To The Past;wup-n-jade;-;-;v0;usa;yes;'0005000010109900';720;60;SYNCSCR
'0005000010109900';TLOZ A Link To The Past;wup-n-jadp;-;-;v0;eur;yes;'0005000010109900';720;60;SYNCSCR
'0005000010109A00';TLOZ A Link To The Past;-;-;-;v0;eur;yes;'0005000010109A00';720;60;SYNCSCR
'0005000010109B00';TLOZ A Link To The Past;-;-;-;v0;eur;yes;'0005000010109A00';720;60;SYNCSCR
'0005000010109D00';Kirby Superstar;wup-n-jaee;-;-;v0;usa;yes;'0005000010109D00';576;60;SYNCSCR
'0005000010109E00';Kirby Superstar;wup-n-jaep;-;-;v0;eur;yes;'0005000010109D00';576;60;SYNCSCR
'000500001010A100';DKC2 Diddy s Kongquest;wup-n-jage;-;-;v0;usa;yes;'000500001010A200';720;60;SYNCSCR
'000500001010A200';DKC2 Diddy s Kongquest;wup-n-jagp;-;-;v0;eur;yes;'000500001010A200';720;60;SYNCSCR
